ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1168
294 3,1161
2 3,1152
7,1100
218,1055
218 6 3,1050
11 6 55 3,967
11 4 6,954
64,907
5 8846 34611 3 7,904
1 20875 540 446,897
6 294,892
69 11 6 3,889
6 2,883
11 1,880
17 1748 6374 675 492 493 2095 10385 13460 10386,865
73,851
11 4 1 6 3,849
3 13655,841
91,839
218 6 78 6595 77 534 148,831
423 574,825
218 6 215 3986 3804,818
324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 11 11787 1 6 41 46 2094 3 865 5572 662 136 2018 470,814
2126 20806,810
11 4 6 3,809
11 1 218 6 1626 56 1838 4500 1839 220 3366 3367 1648 514 1808 883 3736 519 884 773 1035 1019 2132 90 45 523 1145 525 528 46 2013 14465 93 2168 2170 14 3420 98 397 102 103 1716 710 1744 5387 1071 3085 7139 129 130 2058 2456 1481 3847 135 5789 885 2357 4093 531 4584 290 534 148 573 870 838 1566 1486 6137,808
3156 6 1134 3 14348,803
11 218 6 1888 89 686 273 77,800
490 3,800
17790,797
5944 817 11 1855 218 6 821 944 4684 4058 303 1645 3197 2038 257 155 1857 2041 1465 3798 1517 690 504 3218 2214 3221 2160 273 8471 8269 865 96 628 118 1071 1481 3505 3198 148 427 6470 789 6073 266,794
3 14190,792
11 27 6 3 64 1037 2848 6780 2857 6813 942,789
6 860 3 11247 1655,787
584,782
11 6 55 138 153 762 438 787 2333,772
11 922 6 361 3 3919 628 1071,766
849 626 17946 3,765
145 11 987 6 83 3 8791 148 446,762
11 6 55,762
11 6 2828 83 3 1559 438,761
922,755
4 1,754
4 3760,753
3357 3 22321,752
6 14277 6174 1104 1867 265 7 10071 3198,745
218 3,745
6 294 3,744
11 27 6 901 155 3120 1709 234 235 237 6174 1049 265 7 8936 8700 4572 5281 3898 2107 6189 1956 8704 205 16396 7857 2809 1960 2810 1963 135,740
27 3,739
3 7,737
1 6 306 159 2160 5233 2251,730
6 3 737,730
6892 4416 11 1105 1802 1 218 6 41 4058 992 546 1805 356 2029 1686 4721 155 235 237 370 240 46 379 5654 10479 4445 2199 382 273 9989 6276 2408 3863 148 292 435 453 2333 224 10235 4373,725
4844 6 215,722
11 1 6 2 1024 9095,721
27 6 83 6415 2452 2173 64 934 7 2850 51 2234 2229 85 1155 6132 86 5351 1579 5354 10750,714
11 3764 6 55 6760 2962 6073,712
6 1923,709
11 4 6 2941 3084 491 2874 1132 1019 5627 3,702
3805,702
11 1 8863 3 19801 9974,700
151 269 1 218 556 303 2120 3997 1858 5013 997 504 3123 446 245 266 740,698
11 6 3 7 312 492 8707,698
11 218 6 139 1564 257 258 741 90 521 522 777 142 2403 1858 260 281 2993 1044 240 1469 2292 3259 3394 2136 306 1520 382 3 148 438,697
91 3 11994,697
11 1997 6 841 215 353 83 675 492 1014,695
69 1 3,695
2895 1 6,694
3 2183,688
1 22268 3,687
218 6 769 6577 770 232 1602 3647 259 1651 148,684
490 3332 6,683
218 6,683
11 218 6 152 737 148,681
6 7813 31089 3,680
24886 11921 6662 268 151 3244 269 11 4426 1569 987 1 218 6 2363 139 555 1564 296 303 357 3945 363 257 512 1694 1695 1696 1697 1698 1627 1699 1700 1628 1701 1702 1703 1705 1629 1706 1630 1631 1707 1632 2952 2953 774 4507 1019 520 90 522 1025 1710 3222 3804 382 3805 106 3087 4478 2357 148 1141 434 446 448 453 585,676
6 2 3,673
11 16437 6 16353,672
11 4 6 215 3 73,671
11 616 6 19 2012 1643,671
11 1 3 73,671
6 14 1817,669
11 1 6 1018 55 598 1133 4360 379 5526 667 27367,668
3317 6 9918 2292 3259 3,668
138,668
6 7,668
1 6 5456 1736,666
11984,665
3003 27 931 3 33770,664
4143 6 773 3 4321,662
3969 5613 268 3949 5406 2326 2019 151 1162 817 3243 4056 1452 1823 986 554 340 6558 269 11 3001 1802 160 218 6 1803 818 3714 819 4203 944 56 6576 1920 89 2888 2025 756 3792 3664 7409 4059 3793 685 350 7938 2941 139 1457 989 3695 1564 296 7939 5044 3692 3795 615 1117 841 303 9720 4442 1754 354 2258 2070 2442 3870 355 759 1839 3605 220 3765 863 20 357 845 1646 627 1841 2177 4706 3333 540 358 1536 254 1685 1686 1687 221 747 255 1568 2035 57 229 364 1692 25 230 2951 4946 766 2038 2377 257 155 1857 768 5675 231 156 1600 1807 688 232 930 158 233 2873 2268 2952 3512 1709 235 1464 237 826 514 370 1131 2273 5687 1808 4736 515 4737 4738 3736 519 2438 771 772 2280 371 775 827 1132 372 140 90 557 521 1756 777 141 142 3390 1858 537 997 969 3628 260 281 6712 9035 2398 1469 2399 2400 9613 3393 3348 2133 525 528 6163 159 4769 1654 695 3802 381 382 784 4566 5376 3123 5079 273 3 1069 702 2168 2169 2171 1714 1021 9445 19092 6239 832 6590 628 397 1716 559 112 114 115 130 131 5485 3506 960 6986 2061 835 729 25679 25779 3955 5652 135 21941 12968 3297 866 3820 4584 3102 14585 424 6303 1001 136 1101 148 1141 442 443 448 453 786 455 1484 461 870 2066 837 144 3960 839 6167 790 3961 1816 2067 3132 3145 5232 1656 266 1737 2826 1752 3631 3418 316,660
11 1596 6 55 278 871,658
4805 1164 6 4806 884 2276 601 470,657
11 6 100,655
11 6 6669 3 245,654
11 82 3,654
11 6 3 265 11165 534,654
11 801 1 6 21 294 83 3 7189,651
11 987 314 1182 6 531 1077 148 667,650
490 6,649
77,648
502 27 6 55 7 3931 321 7843 458,647
4 6 55 3,643
3 73,643
138 15948,642
11 3090 6 55 77,637
11 40 6 3,637
11 1057 27 6 344 83 3 278 7 85 86 4528 1977 211 17039 87 8215 214,635
246 11 27 218 6 14943 83 278 8819 3170 276 897 5148 786 467,635
3971 55 278 85,634
9786 294 3 787,629
316,628
6 18 3,628
483 6 4575 64,627
8646 3 21445,626
506 11 640 218 6 1679 247 540 598 45 9406 8096 7 205 3910 71 77 148,625
656 6 3,625
3 866,625
5 1,624
504 3045,620
69 151 508 11 640 1 6 6063 2363 215 13912 1800 4273 800 254 1648 364 582 2042 259 1605 514 1034 882 516 517 772 1030 775 1132 525 1518 526 527 528 1519 529 530 378 3666 2052 784 5234 5906 83 292,620
11 741 261 3 6144,620
772,619
11 6 13837 2133 2134 83 7 8730,616
27 6,616
27 55 7 7580 1529 321,615
69 4068 7 897 17116,615
11 2985 6 997 3,615
11 1 218,614
69 11 6 632 1044 5033 3 64 5856 290 737,612
11 1855 6 3,606
69 11 1 6 303 138 378 908 1570 15467 15468 15469 83,604
1 6 672,600
11 218 6 2192 10847 148,598
590 3,596
6 89 9 3387 303 1144 1121 800 358 1536 259 514 1131 882 520 521 777 997 598 241 3394 1532 2181 306 528 1519 529 530 2284 273 3 980 736 1141 292 787 5063 839,593
11 6 8464 3,592
772 159 23318,592
6 1751 3,592
6 1545,591
11 1 3,591
5308 473,590
1 666 3 738,588
1 55,588
218 6 4616 1531,586
11 27 1 6 1679 247 1863 11510 83 3 130 1138 398 7 399 400 85 14434 87 14237 88 73,584
11 6 3 316,584
69 11 6 215 3,583
6 18395 273,583
19488,581
6 1829 3 3299,581
3589 2247 6 55 631 91 83 3,573
6 2 7,571
4 3620 6 3,565
490 6 3185 4396 435,564
6 1801,564
1 6 3672,563
6 55 3 3013 2427 442 444 2143 446 786 3412 1734 462 465 467,561
1512,561
506 11 640 24010 987 1 218 161 657 2086 658 40 659 660 4015 3456 661 665 6 1770 4242 350 991 992 13969 303 1830 2133 3368 5961 15404 24011 83 3 1573 265 7 209 421 423 77 5440 534 633 148 5116,560
69 817 11 1057 1 218 6 929 89 2941 139 353 55 4696 901 1534 1536 361 4723 2035 230 2045 689 378 46 2051 698 273 3 116 77 662 136 148 452 2334,560
4 490 6 138 2270 3 1096,557
882 91 3,556
11 4 6 2,555
1919 55 138 2390 265 7,554
6 666 3 136,549
487 6 3187,549
11 4 6 1751 492,549
6 64 670,549
11 6 3 71 77,548
11 20434,547
11 6 83 3 64,545
12556,544
2247 1 6666,543
13168,543
10582 3,543
55 3518 273 3,543
11 490,543
11 6 277,540
