ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6001
11,5375
1 6,5046
4,4291
11 3,3754
55,3542
1 6 3,3509
4 3,3000
55 3,2377
11 1 6,2373
4 6,2317
4 6 3,1757
6 55,1751
294,1653
2,1596
27,1163
7,1093
218,1047
11 4 6,954
11 1,879
6 2,874
64,872
6 294,871
91,842
73,839
490 3,804
6 294 3,743
3 7,739
218 6,686
6 2 3,676
138,648
77,645
3 73,631
316,629
27 6,619
11 6 55 3,607
11 1 3,598
1 55,592
3 64,530
6 3 7,517
490 6 3,508
145,430
3 77,430
648,418
269,402
6 77,398
1 55 3,391
11 6 2 3,378
11 6 77,376
11 6 7,368
18,361
11 55,334
1 294,275
1 6 294,187
72,152
323,141
293,137
361 3,93
537,89
6 1748,77
11 1490 6 3,77
1451 6 368 1166 278,76
218 258 772 3 568 148,76
11 6 537,75
324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 11 6 1805 1838 354 356 46 3 9299 870 2332,74
11 6 1838,71
293 3 7,69
3604 1525 11 987 6 55 993 235 265 148 667 573 2968 3879 316 678 1013 4373,67
3 13381,67
246 11 27 3,66
11 27 1 6 11968 1876 11969 4181 818 89 10840 8098 6298 13286 512 1696 1699 1707 379 3955 7 2234 1088 1775 3974 438 445 869 3957 7864 474,65
4190 3,65
11 6 2042 775 3 15186 71 999 77,64
5101 145 6 138,63
11 1 6 3 14710,63
138 19424,63
11 27 6 3 14 64 1138 7 5978 667,63
8619 218 6 3,62
27 3 7 2847 879,61
4 6 24750,61
1637 1 91 3,61
11 6 3360 303 598 2051 10931 938 64 719 1037 135 4601 563 662 136 438 458 470 793 1818,60
145 489 6 14050 3 316 498,60
2281 3 7267,60
11 6 1146 5497 2402 5498 8259,60
6 2273 5849,60
11 622 6 666 1973,60
11 6 215 294 3 832 62 835 438 144 5246,60
508 11 4 3317 6 2363 3,59
7998,59
1 6 83 7 85 86,59
11 6 306 294 438 474,59
1 16840 25 3 866,59
323 1 215 18662,59
