ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2341
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1372
490,1225
27,1165
294 3,1161
2 3,1152
7,1100
218,1054
11 4 6,954
64,907
6 294,890
6 2,882
11 1,873
73,850
11 4 6 3,809
91,804
490 3,792
11 6 55,761
4 1,754
218 3,745
6 294 3,744
3 7,734
27 3,729
6 2 3,673
6 7,667
138,666
218 6,661
77,648
3 73,643
490 6,642
316,628
27 6,615
11 6 55 3,610
11 1 3,589
1 55,584
3 64,557
6 3 7,520
490 6 3,490
4 1 3,486
218 6 3,484
6 64,481
27 6 3,472
446,461
3 316,459
6 73,439
148,429
145,424
11 6 2,421
648,410
993,409
6 91,409
269,399
4 1 6,393
278,393
11 6 294,391
11 4,386
152,385
5,380
91 3,379
590,375
1 55 3,373
138 3,371
11 6 7,359
6 3 73,357
11 6 77,355
6 138,352
11 6 2 3,346
3 77,343
1751,342
1 6 55,332
11 6 294 3,327
6 3 64,325
6 316,318
18,317
6 3 77,311
11 218 6,301
11 6 3 7,299
11 4 3,293
3 446,292
11 6 138,291
11 490 6,286
6 138 3,284
4 1 6 3,283
1 2,270
6 3 316,262
269 3,261
215,257
11 27 6,255
3 278,252
11 6 64,252
303,252
1 294,249
69 11 6,248
4 55,240
6 446,239
69,239
3 148,238
11 6 3 77,238
11 218 6 3,236
1 6 55 3,228
6 91 3,227
993 3,226
490 1,222
273,217
1 7,216
11 490 6 3,215
215 3,214
11 6 3 64,213
246 3,213
145 6,212
11 6 138 3,206
83,206
1 294 3,206
18 3,205
6 1751,204
1751 3,203
4 55 3,203
11 218 6 148,200
6 993,197
6 3 446,197
303 3,196
590 3,196
5 3,195
648 6,187
5 6,184
136,182
27 1,180
269 6,179
11 6 316,175
11 55 3,174
6 215,170
152 3,167
1 138,159
6 303,159
1 2 3,159
1779,156
11 4 1 6 3,154
11 6 215,153
1 3 7,152
987,152
4 6 55,152
69 11 6 3,150
83 3,149
11 490,146
504 3,146
11 6 83,143
6 152,141
1 218 3,141
635,141
11 6 446,140
11 6 737,140
11 1 6 55 3,139
616,138
3317,137
11 218 6 3 148,137
295,136
1 6 294 3,136
3589,135
635 3,134
6 83 3,133
4426,133
1850,132
509,130
2081,130
1855 3,129
3001,127
145 6 3,127
11 6 148,126
1637,126
6 83,126
640 3,125
6 1751 3,125
72,123
11 27,123
3347,122
217,121
54,120
2009,120
607,120
11 6 215 3,120
1078 3,119
1 6 2 3,119
2985,118
1 6 3 7,118
2 55,117
485 3,114
11 6 18,112
535,111
638,111
849 3,109
801,109
11 6 278,109
11 6 590,108
11 1 55,107
291,106
1056 3,106
4035 6,106
2324,105
3315 3,104
2344,104
799 3,104
1056,104
3620 3,103
1177,102
11 648 6,102
11 6 993,101
3356,101
314 6,100
4035 3,100
1 446,100
1 138 3,99
11 6 3 135,99
70,98
535 3,98
801 3,97
291 6,97
27 55,97
54 6,96
6 3182,96
11 3 64,95
1 148,95
509 3,95
6 667,94
11 1 6 138,92
135,92
1850 3,91
55 7,91
4315 6,91
288 6 3,91
612 3,91
2281,90
4 6 73,90
617 6 64 978,89
3181 6 3,89
1 152 10155,88
1637 3784 2303,88
218 6 255 378 3 148,88
11 4 1,88
1596 3,88
643 3,88
922 6,88
3826 6,88
6120,87
485 1 3 3193,87
922 3,87
11 6 2133,87
2247 6 3,87
11 54 6,87
4315 3,87
2895 6 215 138 3 205 662 136,86
4 6 7,86
1180 6,86
39,86
438,86
11 993,86
11 27 218 6 860 1900 752 2 818 3971 1603 1906 4196 3492 3385 1168 352 138 747 3945 363 230 4060 1019 90 1858 281 241 672 49 135 148 2251 3145,85
11 1180 9416 6 303,85
11 1 6 355 3 397 3724,85
6 4191,85
2163,85
1823 11 12656 6 3384 5432 747 2050 573,84
11 4 27 6 2131 90 521 5054 1921 6663 294,84
11 4 1 6 56 12487 3 28 148,84
11 6 4413,84
11 1 6 7 12592 2243 321 438,84
4 6 993 3,84
20927,84
2985 2,84
11 6 273 3,84
4426 6 10393 3 584 64 7,83
161,83
2344 1 3,83
11 218 6 56 303 903 800 1514 824 230 688 232 2953 491 537 2190 260 21236 11954 77 148 434 2332 224 468 1926 266,82
490 6 241 7 8279 8906 1977 211 87,82
6 7631,82
509 6,82
749 6,82
11 270 27 6 1132 43 3485 1025 3322 83 5755 934 7 4380 7573 3899 49 1773 746 6160 925 2234 4406 2229 85 10508 890 6087 6088 6126 3351 5202 897 86 7009 5263 1579 5081 5082 12819 2869 3536,81
1 6 215 205 673 77,81
6 1747,81
11 532 6 55 3,81
11 1 6 77,81
1 6 446,81
6 18754,80
11 799 6 18583 3074,80
11 4 1177 1 6 1019 1141 435 438 916,80
6 4050,80
11 928 6 3,80
509 6 3,80
3351,80
6 23605 3,79
11 1177 3 10976,79
69 508 11 799 4129 640 218 40 6 685 3695 5375 6181 1514 747 255 581 2035 229 2953 1466 1132 90 777 6469 142 4675 260 784 3230 3 2254 136 148 453 3654 3092 245 8828 1014,79
3 14411,79
506 1184 1185 1194 1195 1196 1197 1198 1199 1200 1201 1202 1305 1327 1351 1429 322 1430 1431 1432 1433 1434 1435 1436 1437 2109 2110 2111 2112 2113 2114 2115 2116 11 27 218 6 56 2026 1738 615 3544 901 361 1514 255 2265 2037 3499 2872 155 5671 9757 231 1600 4060 1113 930 259 158 3140 1026 513 1605 2952 1865 4512 235 1464 236 9687 514 5682 1034 370 1131 1517 2072 650 2122 2123 1468 491 1132 1019 372 598 588 1829 4759 2886 12 974 1830 2398 1469 2399 9613 3393 3762 248 10670 376 304 306 2160 3 938 49 423 148 587 461 470 564 839 3145 2826 9150 473 474,79
6 55 138 1748 3 136,79
11 2309,79
6 265,79
218 6 55,79
1599 6 3,79
11 1 6 215 1597 3187 3,78
11 1 2085 40 6 3695 1541 1065 1544 1545 9567 631 632 4007 3504 776 1827 15679 77 4100 633 1141 434,78
6 4703,78
11 1 6 4878 573 468 316,78
2004,78
4 2386 264,78
11 6 78 376 504 83 3 1104 265 7 897,78
6 775,78
1177 3,78
11 5 6 3,78
1800,78
11 6 12881 64 77 534,77
2985 6,77
69 11 6 56 7909 3 1848 832 848 10408 885 534,76
3 2367 77,76
11 27 6 3 1956 2854 209,76
145 509 1 6 3,76
55 3 6915 4415,76
4035 648 55 3 11766,76
11 488 2086 40 659 665 6 916,76
11 6 1800,76
11 6 504 3,76
11 6 3 629,76
11 485 6 3,76
4784 5104 4660 11 840 1 218 6 857 342 1879 1741 878 545 7413 546 9612 21 3871 2071 627 540 358 747 363 3516 229 364 2951 969 4755 970 260 281 5340 3394 842 2135 8065 2181 783 2159 3603 2105 2285 380 3230 3454 2094 18 3 2169 1021 706 812 6239 558 3376 2337 4966 1559 6986 5707 728 729 2101 4595 135 10830 8852 5114 5856 5298 3378 7839 24 3379 738 26768 4101 148 667 2183 438 1655 2332 469 5759 4614 1485 6073 6166 1923 6893 6059 266 793,75
1 6 3 9043 8120 7004,75
6 20416 361 14025,75
1 6 138 9799 90 1756 829 241 64 8478 455 4639 137,75
6 3255,75
3003 6 3,75
11 2081 6,75
69 145 489 11 27 987 6 90 83 3 28 398 7 399 400 32 1933 3859 6048 2848 8203 1153 1154 37 13757 13758 49 85 276 3668 3351 6346 5216 897 86 77 494 316 3587 498,74
5315 11 1 6 2 1918 2941 829 1830 3 9206 2219 1481 423 568 438 2333,74
11 4144 3644 6 18330 1467 737,74
54 27 1 1909 3 192 1775 2863 2868 135,74
11 4 6 933 738,74
640 6 3,74
11 1 6 215,74
3 438,74
4145 6,73
11 3356 6 6476,73
11 6 1603 4210 41 2026 6062 20 254 361 4720 1686 1688 2329 2213 691 5700 4040 4445 16118 7616 2168 3372 3373 4062 6362 4090 3235 1660 128 64 5488 7172 3653 670 1023 870 266,73
11 13180 6 11577 3 12677 7738 2303 916 1009,73
327 3 4662,73
16609,73
3 1023,73
585,73
1997 6,73
11 616 6 8817 3,72
817 11 27 1 40 3180 6 686 379 278 9309 2863 2868 8293 499 886,72
795 11 218 6 3387 1643 302 762 21 235 491 1019 90 521 777 3348 3 913 914 148,72
