ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2341
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1165
294 3,1161
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,848
91,838
11 4 6 3,809
490 3,799
11 6 55,761
4 1,754
218 3,744
6 294 3,743
3 7,734
27 3,729
218 6,680
6 2 3,673
6 7,667
138,666
77,648
490 6,642
3 73,642
316,628
11 6 55 3,620
27 6,615
11 1 3,588
1 55,579
3 64,556
6 3 7,538
218 6 3,487
4 1 3,486
490 6 3,481
6 64,478
6 73,475
27 6 3,473
446,461
3 316,461
148,427
145,425
11 6 2,422
246,416
3 77,412
648,409
993,408
6 91,408
269,399
4 1 6,394
11 4,389
278,389
6 3 64,388
5,387
152,384
11 6 294,384
6 77,381
138 3,381
1751,380
91 3,377
6 3 73,373
1 55 3,373
590,371
6 138,370
11 6 77,360
11 6 7,359
18,344
11 6 2 3,343
1 6 55,332
11 6 294 3,326
6 316,319
11 55,311
6 3 77,311
6 138 3,304
11 6 3 7,297
11 4 3,291
11 6 138,289
4 1 6 3,280
11 490 6,277
3 446,275
1 2,269
6 3 316,263
215,260
11 490 6 3,259
3 278,259
11 27 6,256
269 3,253
303,252
1 294,249
11 6 64,247
11 55 3,246
69 11 6,242
6 446,239
4 55,238
3 148,235
69,235
11 218 6 3,234
145 3,229
6 91 3,227
1 6 55 3,226
993 3,224
11 6 3 77,219
6 278,216
490 1,214
273,214
246 6,212
11 6 3 64,212
246 3,212
1 7,209
11 27 6 3,208
6 148,207
83,206
1 294 3,206
215 3,204
145 6,201
152 3,200
1751 3,198
11 6 73,198
4 55 3,198
6 3 446,197
590 3,196
11 6 138 3,194
6 1751,193
5 3,192
6 993,192
648 3,192
18 3,191
11 218 6 148,191
303 3,190
5 6,189
648 6,186
11 4 1 6,183
6 18,182
1 2 3,180
504,180
27 1,179
136,178
269 6,177
737,175
11 218 6,172
69 6,168
69 11 6 3,166
11 6 3 73,159
11 2,157
6 590,157
269 6 3,153
11 6 737,153
3 737,152
1 138,150
1 3 7,150
11 6 215,150
1 73,150
1 218,149
6 215,148
6 3 278,147
11 1 6 55,146
11 6 316,146
1 6 294,145
987,144
4 6 55,144
1 91,143
11 6 91,142
11 6 83,139
1 64,138
6 152,137
11 294,137
509,133
6 504,133
6 215 3,133
1 6 2,133
6 303,132
246 6 3,132
11 6 3 316,131
11 4 1 6 3,131
635,130
40,128
6 737,128
11 490,127
3317,126
4 6 55 3,126
83 3,125
6 83 3,124
314,123
490 1 3,121
275,121
1017,120
6 83,119
146,119
1 218 6,119
11 6 446,118
27 1 3,118
3 136,118
2186,118
5 6 3,117
4 294,117
1599,116
17,116
483,116
11 1 6 55 3,116
1 6 294 3,115
1 218 3,114
6 273,113
11 27,112
616,111
11 6 3 737,110
640,110
4 2,109
72,109
4315,109
2309,109
1 77,108
1850,108
40 6,108
69 6 3,108
55 294,108
145 6 3,108
3347,108
27 1 6,108
3003,107
1105,107
617,106
54,106
2009,106
656,106
11 6 278,106
11 6 667,106
3620,106
11 294 3,105
605,105
6 1751 3,105
6 18 3,105
491,104
11 6 148,104
11 6 3 446,104
288,104
3764,104
621,104
1059,103
269 11 6 3,103
6 136,103
3001,103
2895,102
2081,102
4 2 3,102
11 6 215 3,102
11 1 6 27942,101
1164,101
3090,101
11 6 136,100
922,100
4 294 3,99
490 1 6,99
485,99
11 27 3,99
880,98
1 6 64,98
1 3 73,98
2985,98
1078,97
1180,97
799,97
640 3,97
217,96
11 40 6,96
1777,96
1 6 3 7,96
1637,95
2 55,94
2247,94
6 303 3,94
269 11 6,94
2324 6,93
643,93
11 64,92
2324,92
666,92
607,92
11 218,92
3 2145,91
12 3 7573 5759,91
145 6 1904,91
1 316,91
6 290,91
635 3,90
6 378,90
11 6 5913 89 303,89
11 2324 799 640 270 27 6 3 278 7 1958 897 2998 5517 5518 5519 2148 2858,89
323,89
11 1039 6,89
504 3,89
293,89
1 21170,88
52,88
2247 3,88
11 7,88
3826 6,88
928,87
40 6 3,87
4 27,87
488,87
11 27 218 6 1686 7 205 8979 7730 1507 1513 148 3960,86
11 6 152 525,86
3 897 148,86
145 1,86
6 590 3,86
490 1 6 3,86
4 6 138,86
6 993 3,86
145 489 11 6 1147 3 628 1071 131 8858 11500 64 446 916 316,85
987 3,85
1 6 90,85
11 6 91 3,85
251,85
11 648 6,85
314 3,85
1056,85
11 6 378 3,84
11 6 303,84
4426 3,84
1 218 6 3,84
145 11 6,84
4035,84
484,84
3356 6 802 405,83
4 6 3 64,83
3589 3,83
70,83
801 3,83
3347 3,83
3317 3,83
1 6 73,83
1180 3,83
1 278,83
502 6,83
3315 3,82
3181 6 3,82
487,82
6 273 3,82
799 3,82
11 487 6 3 12798,81
849 55 2118 3,81
749 218 3,81
1 3 316,81
2309 3,81
6 14,81
11 3 316,81
638 3,81
246 1,81
69 4 6,81
535,80
638 6 3,80
11 91,80
2344 3,80
2186 3,80
6 3 226,79
1 1043 3 9436,79
7766 11 4136 1802 603 640 270 987 218 658 40 660 661 665 6 3384 3364 19 1535 1748 378 1570 3228 83 6302 3146 148 4811 496,79
2 55 3,79
3182 3,79
1 138 3,79
2939 6 3 7,79
11 5 6,79
4 6 2,79
11 6 662 136,79
205,79
749,79
1 3 64,79
1017 3,79
275 3,79
1 6 138,79
3356,79
1777 3,79
6 3 10120,78
4561 3,78
90,78
6 438,78
4 3 64,78
11 3 73,78
1204 1205 1206 1207 1208 1209 1210 1211 1214 1225 1236 1247 1257 1260 1271 1282 1293 1304 1305 1316 1327 1351 1362 1373 1384 1390 1391 1392 1393 1394 1395 1396 1397 1398 1399 1400 1401 1402 1403 1405 1406 1407 1408 1409 1410 1411 1412 1413 1414 1415 1416 1417 1418 1419 1420 1421 1422 1423 1424 1425 1426 1427 1428 1436 1437 11 4 218 6 1873 4152 1874 1592 342 253 3368 3 5298 148,77
11 6 18,77
11 6 3 278,77
288 6 3,77
1 18,77
251 3,77
17 3,77
1779,77
4035 6,77
27 1 6 3,77
11 218 6 901 579 694 7 5365 24 148,76
880 27 2361 5272,76
11 6 1069 3885 2889,76
1 6 7,76
1177,76
656 3,76
11 6 378,76
11 314 6,76
4 64,76
3090 3,76
2081 3,76
11 1059 6 3,75
6 5675,75
72 1 3,75
314 6,75
11 73,75
3356 3,75
218 6 762,74
11 1 6 5619 4085 3 7,74
11 987 6 306 3 312 148,74
11 928 6 3,74
2021 11 6 2 3363 15483,74
72 3,74
246 91,74
4035 3,74
11 6 14,74
5 1,74
1 148,74
4 218 3,74
987 218 28862 504 3087 148 462 4339,73
246 9540 7 3209,73
849 3,73
1850 3,73
1855,73
4 138,73
987 6,73
11 6 916,73
670,73
1800 3,73
7838,73
294 3 10714,72
1 6 55 3 316,72
5 294,72
612,72
535 6,72
6 3 136,72
146 6 3,72
490 55 3,72
3826,72
488 3,72
27 55,72
11 490 3,72
52 6,72
2939 11 6 1018 4961 1133 4963 2942 4964 14,71
11 6 978 28506,71
2 55 446,71
69 4660 11 4 640 3644 1569 2316 5192 1 218 6 892 215 7413 546 9612 540 970 3607 504 3 5572 737 148 499,71
11 55 11582,71
218 55,71
11 1 55,71
11 6 3 148,71
1039 3,71
1 6 77,71
5092 5093 4831 4833 4834 4835 4836 4837 4838 4839 4840 4841 5101 3212 11 1180 1 218 6 2026 4059 230 764 257 155 367 3 4065 644 5326 866 148 292 1656 1817 1818 498,70
324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 4 6 2941 3 1573 265 7 1077,70
11 3 7,70
2324 3,70
1 6 2 3,70
1056 3,70
1779 261 3,69
11 4 2344 3356 6 4883,69
11 10631,69
55 7,69
17 6,69
55 294 3,69
749 3,69
4 3 7,69
1105 3,69
490 55,69
1871 11 987 1 218 40 659 6 3360 539 3123 3 1151 563 148,68
246 11 1 218 6 546 3 7179 7 438,68
11 8623 17064,68
502 3,68
638 6,68
484 3,68
3620 6 3,68
11 6 1751,68
361,68
2 294,68
87,68
135,68
1 3801 3,67
14565,67
6 26727,67
1069,67
11 4 1 3,67
922 3,67
849,67
2163,67
3589 6 3,67
11 4 1,67
378 3,67
295,67
55 73,67
11 1 6 64,67
6 3 662 136,67
584,67
