ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2376
4 6,2341
4 6 3,1757
11 1 6 3,1753
6 55,1747
294,1653
2,1601
6 55 3,1375
490,1217
27,1169
294 3,1155
2 3,1149
7,1100
218,1056
11 4 6,955
64,909
6 294,890
6 2,884
11 1,879
73,849
91,840
11 4 6 3,807
490 3,802
11 6 55,758
4 1,756
6 294 3,744
218 3,739
3 7,710
218 6,684
27 3,681
6 2 3,666
6 7,665
77,647
490 6,644
3 73,644
316,628
11 6 55 3,625
27 6,617
138,610
11 1 3,590
1 55,583
3 64,553
6 3 7,541
490 6 3,494
218 6 3,492
4 1 3,485
6 73,477
3 316,467
27 6 3,452
6 64,442
446,440
148,433
145,430
11 6 2,422
246,413
648,412
993,408
6 91,408
6 77,400
269,399
4 1 6,398
5,395
11 6 294,395
6 3 64,393
138 3,393
11 4,392
152,390
278,385
1 55 3,381
6 3 73,375
91 3,375
6 138,374
1751,374
590,369
3 77,362
11 6 7,361
11 6 2 3,347
18,341
11 6 77,335
1 6 55,330
11 6 294 3,326
11 55,312
6 138 3,310
11 218 6,310
11 6 3 7,302
11 6 138,294
6 3 77,288
11 4 3,288
269 3,273
11 6 3 77,272
1 2,270
3 278,265
11 490 6 3,264
11 490 6,260
303,256
11 6 64,254
11 55 3,251
6 3 316,250
69,246
3 148,244
215,242
6 446,241
1 6 55 3,236
6 91 3,235
145 3,231
4 55,228
6 278,228
993 3,225
504,223
11 27 6,220
1 7,219
648 3,216
4 55 3,216
83,215
6 1751,215
246 6,212
11 6 3 64,211
1 294,211
1 294 3,210
1751 3,207
273,207
6 3 446,205
11 218 6 148,202
18 3,200
11 6 138 3,199
303 3,199
4 1 6 3,191
11 6 316,191
5 3,190
11 218 6 3,190
69 11 6,190
11 6 73,189
1 2 3,187
6 152,185
6 148,184
69 6,184
246 3,184
145 6,183
269 6,181
737,179
152 3,178
11 4 1 6,174
69 11 6 3,171
27 1,171
11 27 6 3,170
136,167
1 138,165
4 294,165
1 218,164
69 3,161
1 218 3,160
6 303,159
11 4 1 6 3,159
6 3 148,158
1 91,158
27 1 3,157
1 6 2,153
509,152
490 1 3,149
11 6 83,149
3317,145
1779,145
69 6 3,144
218 6 148,144
11 6 446,144
3589,144
6 83 3,143
987,142
6 993,141
17 3,140
3 136,140
6 590,139
643,139
3620,139
502,137
3181 6,137
217,136
4 2 3,136
3315,136
617,135
269 6 3,135
55 64,135
1599 6 3385,135
27 1 6,135
11 1 6 3971 1643 1680 3765 3370 4808 1751 4990 4954 5730 11011 3612 64 3724,135
11 6 10414 3020 9059 19765 19329,135
3 6003,135
6 3 7391,135
11 288 218 6 154 845 3871 1646 228 1841 255 230 155 231 232 5682 772 5143 8059 148,135
11 27 218 6 5182 2257 2156 8053 1807 2279 775 1019 142 693 83 3 709 934 7 205 8967 1051 1052 3261 1940 737 148 676 499 886,135
11 490 3,135
11 1581 1 6 1769 1770 89 1069 278 3297,135
11663,135
18215,135
3764 6,135
27 28 7 2226 32,135
11 6 56 2027 1780 3693 823 1648 3824 9459,134
1490 218 6 55 255 773 371 14 1715 97 98 102 103 104 559 106 4044 118 25372 21714 1718 1062 4637 2057 130 64 7 148,134
246 11 218 2024 314 6 9971 148,134
5948 73 499,134
490 294,134
11 6 435,134
145 1 9847,134
11451,134
490 270 1 6 23934 666 3 13721,134
612 3,134
11 1489 6 6589 78 7114 3235 7133 126 64 1077 2065 633,134
987 1 2 3,134
1 3791 1912 1024 531,134
6364,134
4 6 3 14928,134
19705,134
11 27 1 6 55 83 3 7 13429 4355 420,134
6 55 13427 1700 3 278,134
11 6 719,134
69 6711 11 27 1 6 356 687 379 2201 3 5729 5593 7045 702 6120 2168 2406 1473 2409 6279 834 398 7 399 400 891 1774 1775 879 446 872 6166 5943,134
324 325 326 327 328 335 336 337 338 339 11 12999 1 6 2 10180 379 273 9823,134
3001 215 361,134
2123 3 1170,134
6422 1751 3,134
3 278 7 5205 402 7296 5210 897,134
11 6 372 3 633,134
1272 16109,134
1525,134
1 6 4291,134
55 8696 5336,134
11 160 1 6 19 1018 5818 8394 2162 361 1629 515 773 1035 3437 11788 3219 5958 3666 2051 1845 5537 807 23965 3 938 2876 11433 1037 3404 2946 7860 8901 8902 8148 278 14501 15065 470,134
1 3456 6,134
11 1039 1 6 3,134
11 52 2186 6 64,134
6 20738,134
1 16941 3,134
508 11 8610 1 218 6 3385 1168 139 5914 989 296 3692 1018 5529 578 1851 1121 359 254 361 4720 1686 221 5369 255 5545 363 229 364 25 1693 582 3517 257 155 930 259 233 1033 1034 3501 370 2953 1131 2821 1030 773 2072 774 1035 491 776 1810 2874 1132 520 90 521 777 3473 781 537 281 1025 44 58 3784 598 45 523 1145 588 5355 1829 2886 12 974 4616 1531 2993 7396 238 1044 1469 241 689 248 3394 375 2134 242 2135 376 2181 306 783 6621 2159 261 2010 2137 1609 3206 697 672 83 835 4792 148 1141 434 453 1923 3416 3962 6347,134
11 1802 6 139 504 3 3374 558,134
324 334 338 339 1850 1078 27 6 3 104 49 2332 3957 837 2826 791 473 793,134
4315 7789,134
1368,134
6 6376,134
3589 5951 3,134
11 11322 6 7 7321,134
11 218 6 303 25453 662 136 148,134
