ID,Count
3,381
6,290
6 3,205
11 6,152
1,118
11 6 3,92
1 3,59
1 6,53
11 3,50
11,43
4,39
55,39
1 6 3,35
4 3,29
55 3,27
4 6,20
4 6 3,19
294,17
11 1 6,17
2,16
3 316,15
11 4 6,15
6 55 3,15
27,14
294 3,14
7,13
11 6 2 3,13
91 3,12
11 27 1 6,12
3764 3 7,12
11 6 5742,12
4 1 6 9811,12
11 621 5 1 218 6 540 254 4979 1517 4625 3806 397 104 2386 64 7167 719 4068 4312 7237 424 148,12
6 4208 4676,12
660 1751 7 9865,12
3 77 916,12
218 6 1657 1658 3665 303 650 827 3436 91 9907 3 7 77 531 737 467,12
6 55,12
11 4 6 3,12
6010 929,12
11 612 1 40 6,12
2 3,12
3589,12
3620 1 55,12
11 27 218 6 278 7 6398 2243 8011 2869 321 4878 573,12
1056 9991 6,12
6 9996,12
4376 11 6,12
506 1194 1204 1205 1206 1207 1208 1209 1210 1211 1212 1213 1214 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1226 1227 1228 1229 1230 1231 1232 1233 1234 1235 1236 1237 1238 1239 1240 1241 1242 1243 1244 1245 1246 1247 1248 1249 1250 1251 1252 1253 1254 1255 1256 4842 1257 4843 4844 4845 4846 4847 4848 4849 4850 1258 1259 1260 1261 1262 1263 1264 1265 1266 1267 1268 1269 1270 1271 1272 1273 1274 1275 1276 1277 1278 1279 1280 1281 1282 1283 1284 1285 1286 1287 1288 1289 1290 1291 1292 1293 1294 1295 1296 1297 1298 1299 1300 1301 1302 1303 1304 1305 1306 1307 1308 1309 1310 1311 1312 1313 1314 1315 1316 1317 1318 1319 1320 1321 1322 1323 1324 1325 1326 1327 1328 1329 1330 1331 1332 1333 1334 1335 1336 1337 1338 1339 1340 1341 1342 1343 1055 1344 1345 1346 1347 1348 1349 1350 1351 1352 1353 1354 1355 1356 1357 1358 1359 1360 1361 1362 1363 1364 1365 1366 1367 1368 1369 1370 1371 1372 1373 1374 1375 1376 1377 1378 1379 1380 1381 1382 1383 1384 1385 1386 1387 1388 1389 1390 1391 1392 1393 1394 1395 1396 1397 1398 1399 1400 1401 1402 1403 1404 1405 1406 1407 1408 1409 1410 1411 1412 1413 1414 1415 1416 1417 1418 1419 1420 1421 1422 1423 1424 1425 1426 1427 1428 1436 1437 1438 1439 1440 1441 1442 1443 1444 1446 1449 1450 3969 817 1451 679 269 11 7973 1 218 658 40 659 6 56 3360 2888 42 3680 1780 1616 2999 2941 139 556 4962 841 38 352 303 3515 1754 1644 6760 687 254 364 25 1693 582 230 583 1515 825 258 512 231 769 1600 688 232 1601 2045 259 158 368 2952 1463 1864 1033 370 2953 1131 1517 2954 1466 2282 1467 1132 372 140 520 1827 90 521 522 141 4675 3473 781 1858 4563 970 281 1025 3607 1044 240 864 1469 2292 689 690 3394 3368 375 242 2135 376 2181 262 263 504 691 4040 1520 3802 2094 810 6960 273 5058 558 2008 116 4065 135 423 4096 5995 933 738 2425 563 3198 148 6976 2426 443 787 455 464 836 4614 1485 3416 839 3131 1656 876 316,12
6 294 3,12
73,12
1 2 55,12
11 6 844 845 846 847,11
11 6 1909 4201 4211 3 64 4068 670 7,11
11 6 3385 747 824 6239 461,11
4 6 55,11
6 152 1983 3,11
3560 11 1 314 6 4250 9161 4672 3 492 316,11
4983 9291,11
1 6 5565,11
11 6 615 1149 9328 7 2018,11
11 6 3 77 633,11
1637 1 6 138 294 3 86 662 136,11
621 1,11
1162 11 6 3 316,11
55 3 4067,11
69 9380 11 3620 5656 1 218 6 2 303 55 138 993 273 3 60 7 423 148 1014,11
11 6 9419 9420,11
11 1581 6 230 3 64,11
11 502 6,11
2324 3 9480 9481,11
9544 6 378 294,11
3 136,11
493,11
4 6 3 7,11
6 9595,11
6 2,11
11 1 6 3,11
11 6 2,11
11 17 6 1748 3 2965,11
327 3,11
218,11
1594,11
11 6 3182,11
1519 3 3863 77 662 136 1101 492,11
11 1,11
69 1524 324 11 27 5 1 218 6 1769 1770 10053 10054 10055 10056 10057 10058 10059 9545 7586 4234 2342 10060 5877 10061 10062 9370 10063 8490 10064 10065 10066 10067 10068 10069 4244 215 5723 1800 7548 1801 1679 247 138 889 632 1144 254 1682 4721 363 45 523 83 6965 1481 719 204 278 3193 1048 1049 265 1138 4236 4074 10070 934 28 398 7 5978 399 400 32 2847 37 3311 205 2232 1503 1507 6258 206 85 3351 10071 3494 10072 9792 3625 6132 7907 2300 4029 5991 10073 897 86 9994 2858 1089 1978 211 3152 1775 879 3209 7962 5452 5453 212 3210 87 2864 2866 4489 214 1868 421 71 135 999 1000 77 148 446,11
11 799 6 120 584 644 64 734,11
7507 787,10
7896,10
11 621 3 891,10
4 1 6 1025 3 7,10
3 8062,10
11 218 6 930 233 3500 1863 3512 235 1464 236 148,10
64,10
485 6 303,10
215 8294 3 8198 316,10
11 6 4988 3394 3,10
6 91 446,10
1348,10
