ID,Count
11 6 159 273 18 2057 3409 869,35639609626796328681229735581505
269 11 6 19 58 3518,35639609626796328681229735581504
11 6 397,30879998301089288849302238461802
6 3 19098,28587918043298592026222131188767
4491 6,25631782564786955765124858700644
11 799 1 6 4684 3 3198,25631782564786955765124858700644
1751 3 5555 316,23479106465643748874845735183854
27 6 10247 7290 2342 1991 2843 215 14 166 184 186 2351 6873 204 934 7 1956 49 205 662 136 1101 667 482 316,23358591761180772648012541383663
1 55 993,23358591761180772648012541383650
303 423,23358591761180772648012541383650
11 928 6 5118,23358591761180772648012541383649
293 483 2009 3 8345 15635,23358591761180772648012541383649
1 6 294 8141,23287864240466857853816121373351
6 1025 3,23019486824629146312368043055626
6 1138,23019486824629146312368043055624
11 218 6 2886 3 135,23019486824629146312368043055622
4 438 316,21131195819079373987361161665472
11 1 6 13057 3 9391,21131195819079373987361161665472
508 11 8610 1 218 6 3385 1168 139 5914 989 296 3692 1018 5529 578 1851 1121 359 254 361 4720 1686 221 5369 255 5545 363 229 364 25 1693 582 3517 257 155 930 259 233 1033 1034 3501 370 2953 1131 2821 1030 773 2072 774 1035 491 776 1810 2874 1132 520 90 521 777 3473 781 537 281 1025 44 58 3784 598 45 523 1145 588 5355 1829 2886 12 974 4616 1531 2993 7396 238 1044 1469 241 689 248 3394 375 2134 242 2135 376 2181 306 783 6621 2159 261 2010 2137 1609 3206 697 672 83 835 4792 148 1141 434 453 1923 3416 3962 6347,21131195819079373987361161665468
4085,21131195819079373987361161665468
11 27 987 6 5126 5127 5434 14420 4187 4195 344 1455 55 2886 934 7 4380 7573 49 5929 1958 2852 746 6160 2234 206 4406 2228 2229 9111 9112 4019 890 1155 879 5365 2231 7581 12592 7582 77 1001 148 3255,21131195819079373987361161665467
11758,21120895533017493892617538521140
640 27 40 3456 1143 6 55 83 3 7 3148 37 6515 9975 11994 3170 2885 276 1820 13061 9982 14091 8552 9018 3352 402 13423 12868 421,21120895533017493892617538521138
11 6 1034 3581 5016 1713 1174 7053 703 1149 62 5750 965 644 64 9070 3403 3700 552 4313 847 730 2981 670,21120895533017493892617538521138
55 73,21120895533017493892617538521137
8617 7795 270 27 6 512 158 83 7 85 86 6383 10385,21120895533017493892617538521136
4 27 3,20124341667950695648426268709932
6 1132 3 7 5900,20124341667950695648426268709931
11 6 1144 3733 1748 83 3 13264 73 496,20124341667950695648426268709924
145 4 3826 3 17433,20101852256775528669386554694055
11 4 3620 6 3,20101852256775528669386554694055
817 340 11 987 218 6 766 2878 148 1752,19680683554888467445666119425453
11 6 1454 2105 3,19680683554888467445666119425448
11 27 6 3135 970 3485 672 49 6734 423,19680683554888467445666119425446
643,19680683554888467445666119425446
2021 11 6 512 1694 1628 1707 3 2448 9758 126 610 135 136 1101 2335,19658425464746509674254241199240
1599 6 3385,19012199019664407815455786863212
4 18739 278 3378,19012199019664407815455786863194
6 2 3,19012199019664407815455786863185
640,18774129362682216793437812018854
251 1 437 467,18647344769610010895893995682562
11 218 6 3,18647344769610010895893995682556
55 3,18647344769610010895893995682553
