ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2377
4 6,2343
11 1 6 3,1774
4 6 3,1770
6 55,1764
294,1693
2,1686
27,1679
490,1678
6 294,1676
27 6 3,1676
18,1676
91,1676
64,1675
4 55 3,1675
11 4 6,1675
73,1675
6 2 3,1675
2 3,1675
1 6 715,1675
1 22342 21600 3766,1675
4 8610 3 120,1675
11 6 294 14290 71 77,1675
1 4888,1675
11 27 6 278 28 7 1050 2226 1932 32,1675
490 928 6 3 2319,1675
11 6 3 4886 2304 4981,1675
11 41267,1675
6 91,1675
27 6 398 7 399 400 2800 14565 4078,1675
11 6 55 3 17465 677,1675
69 11 6 3 71 1000 667,1675
2186 6 3,1675
462,1675
11 6 361 650 2122 2123 2129 2130 3 472,1675
6 55 3,1675
323 1806 4361,1675
3317 605 3,1675
11 6 1769 3790 1914 56 263 3 438 793,1675
4 483 3246 41268 155 3,1675
4 380 3,1675
11 1 40 6 1019 3322 3 1752,1675
11 218 6 55 1144 255 273 148,1675
18215,1675
6 1065 492,1675
330 638 3,1675
4148 6 3,1675
7,1675
648 259 8761 3,1675
1 6 762 3517 3 4216,1675
11 987 3143 1751,1675
3181 6,1675
1 590,1675
6 19451,1675
1 17731,1675
11 6 12685 316,1675
11 4 27 1 6 1808 816 3 8373 64 5853 49 6355,1675
4 6 6221,1675
1 4990 7205,1675
69 2206 269 11 640 27 1 218 6 42 3362 1738 303 220 1981 579 540 800 1030 491 1810 1748 692 4769 693 694 697 2013 672 9129 3262 601 49 866 933 738 4358 1614 534 148 916 2336,1675
294 3,1675
69 23949 11 27 1 6 1065 1808 517 518 3 71 77 633 438 445 573 916 316,1675
612 6 2993 7512 1044 10633 14410 28 7 1050 32 10277 6966 17270 1154 1784 1785 1786 1787 1788 1789 1790 37 6952 15498 8550 2397 5178 321,1675
11 6 946 555 2159 1748 4966 98 99 101 1559 109 1744 4321 64 5572 7232 9273 3776 568 866 435 438 455 916 2332 245 227 875 3743 9693 11063 1752,1675
11921 11 1 6 8588 1839 20 3 6765 4311 11038 2298 2456 4923,1675
928 6 3774 3,1675
16016 6 152 17932,1675
6 18 3,1675
6 303 21 90 141 6156 694,1675
11 1 2085 40 6 686 21 358 5666 521 16431 2006 273 3 64 2982 77 3586,1675
11 656 987 1 218 6 254 155 259 1863 3512 2270 235 1464 236 237 148 292 432 441 7244,1675
11 3356 6 859 863 762 3 7 866,1675
11 1855 3644 6 247 1033 1714 64 18178,1675
246 3,1675
324 328 338 339 11 40 660 6 993 229 512 237 826 281 4774 492,1675
145 11 6 6657 17772 9443 2406 1473 1149 2092 1073 1074 64 670,1675
142 3,1675
6 5442 13236 432,1675
11 1 218 6 4155 3492 3869 55 2163 512 1628 688 1113 5677 2045 259 1707 158 931 2873 3666 3 934 28 7 32 2300 897 321 148 432,1675
11 6 3 2059,1675
7838,1675
27 1 6 3,1675
6711 11 314 6 905 9854 22293 3186 6636 303 2345 5230 90 2398 3762 504 273 1473 5603 2456 23 719 423 738 136 1101 667 435 438 446 448 457 458,1675
69 11 27 6 89 215 1597 3 724 7 49 205 1052 77 73,1675
14486,1675
11 6 55,1675
3347 6 18771 3,1675
905 259 521 522 141 504 587 869,1675
11 987 1 6 3716 3797 1829 12 7396 376 305 306 2192 731 7 9073 1529 5114 3723 312 148 458 492 4874 4877 2304 3383 2185,1675
1850 6 152,1675
17 7,1675
11 146 6 77 4811 496,1675
55 378,1675
11 4 1 6,1675
294 6183,1675
2081 218,1675
6 90 3 51,1675
6 504 3,1675
11 6 6494,1675
6 1027,1675
490 55,1675
11 640 6 512 1694 1628 1707 7 2373 1529 321,1675
14 3787 111 1660 852 137,1675
11 2024 314 6 1644 378,1675
11 6 6116 16688,1675
11 621 9786 21234,1675
3001 1 1901 78 13172 294,1675
5945 11 1 6 356 687 46 379 3 702 3974 6974,1675
11 6 55 686 3,1675
11 1 6 1144 382 3226 3,1675
2186,1675
11 218 6 2 56 1025 3 93 4990 7048 6979 7054 15225 1149 64 1496 148 873,1675
331 11 1 90,1675
11 6 3 438,1675
11 6 9929 7 1774 7576 14976 10689 5452 5453 10 6915 212 5148 87,1675
6 1770 64 16877,1675
4 5949 278 19211,1675
4672 3,1675
506 11 535 40 659 665 6 378 13194 83 1772 7 446,1675
6 13619,1675
6 3 13310 13481,1675
490 3,1675
487 27 1 218 6 512 2987 9129 1174 64 278 7 5766 5087 5767 5768 5769 5770 5318 5145 5771 5772 5204 5205 402 12863 897 321 148 492,1675
622 6,1675
1 136,1675
11 4147 1 218 6 2941 83 1751 64 7239 3776 148 73,1675
6 11918,1675
5 6987 64 729 610,1675
11 1 6 11488,1675
273,1675
39 11 218 6 158 234 379 3 13847 148 17549 6224 494,1675
2081 3,1675
11 1 6 56 3539 1030 650 4562 894 2125 2128 3 3612 5603 6233 7159 644 64 23 4069 7 10806 77 633 662 434,1675
11 7775 6,1675
27 41269,1675
6 3 446,1675
509 1945,1675
11 52 6 1748,1675
326 6 23797,1675
11 1 218 6 55 1460 14 397 102 1716 104 629 2057 64 77 148 3195,1675
11 6 294,1675
899 3155 151 2020 269 11 1 6 152 303 364 25 273 13159 83 3 916,1675
11 1 6 83 3 7,1675
3356 218 6 294 3,1675
11 27 5 218 6 2052 273 7977 3 99 397 3085 5705 4952 7 891 87 4238 420 148 667 2333,1675
3 645,1675
52 6,1675
55 64 7989 148,1675
6 55 6549 3,1675
11 1 6 546 41270 83 3 8659 3232 3612 64 205 6786 2195 2310 568 77 3030 445,1675
11 6 3 106 15342 12749,1675
15190 772 1751 3892,1675
11 291 218 6 3258 4962 841 7586 20918 2973 90 240 2398 1469 2399 2400 689 148 3825 564 839 2096 13866,1675
11 27 6 504 3 7 85 5177 3553 2868 2373 1529 321,1675
11 799 6,1675
11 6 397 102 1716 106 1660 77 438,1675
1063 508 11 502 6 5106 21 5688 3227 3 11010,1675
11 295 21143 3 316,1675
4 148,1675
6 4103,1675
11 1105 6 3,1675
2874 3,1675
928 657 40 6 7245 3185 106 8376 6499 1074 2455 8379 3086 5744 61 4065 1663 62 3399 1175 6336 8891 2878 2416 2419 584 644 64 552,1675
1 6 91 3,1675
11 27 6 4559 974 3 49 423 916,1675
11 6 138 3 4985 64,1675
11 1 6 24753 3,1675
5801,1675
3 16650,1675
11 6 2 148 432,1675
11664,1675
11 607 2186 1 446,1675
1 3180 6 5949 5950 5952 3544 545 303 1568 25 650 262 504 4989 2285 3 737 667,1675
6 3 7,1675
27 19449 1800,1675
27 278 10922,1675
4 1 3 472,1675
2247 18 3 112,1675
72 6 294,1675
643 7155 9007 73,1675
3764 6,1675
11 217 3247 1569 1 6 7290 491 3 446,1675
6 303 55,1675
11 532 1 218 6 55 91 19007,1675
11 4 6 12907 3,1675
11 6 6682 762,1675
1 12560,1675
11 6 10624,1675
6 1829 1830,1675
1 6 3 7,1675
880 6 3,1675
11 4 217 6 241,1675
506 11 490 1 6 2034 971 3784 972 864 241 704 3371 11819 3372 3373 3374 3375 2356,1675
13990 446,1675
4 2342 4602,1675
6 3776 11702 3723,1675
269 294,1675
6402 6,1675
11 3090 6 3 28 136 967,1675
5528 11 6,1675
11 617 6 3,1675
145 3,1675
3589,1675
11 4121 1 6 215 1124 237 45 3 676,1675
3 13475,1675
1 6 294,1675
3156 4805 986 269 11 314 6 350 9392 303 368 514 995 1607 1131 1517 4734 772 2954 504 1610 273 25570 13846 3843 3316 14853 23039 17437 21251 8690 24169 15046 24007 30495 12438 3580 9060 34059 13877 2380 5906 11807 26574 15063 15212 393 29597 3 8359 1714 2173 14 109 3810 5022 64 2371 552 9265 885 1723 3238 435 446 463 1038,1675
490 6 231,1675
236 3,1675
4854 5832 1748 35729 3 10987 446,1675
11 6 239 5534 8181,1675
1194 11 218 6 4441 3 15475 148,1675
817 340 11 987 218 6 766 2878 148 1752,1675
1 2024,1675
11 16231 1 6 1644 2045 931 2973 4310 504 3 494,1675
380,1675
1524,1675
11 3003 6 27158 3 15744 499 886,1675
17589 934,1675
6 20990 4082,1675
11 987 218 6 89 1458 20474 1025 21029 3 77 1817 8040 496,1675
27 6 6267 3158 6269 16042 2448 397 924,1675
11329 11 6 1748 704,1675
