ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1168
294 3,1162
2 3,1152
7,1100
218,1056
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,850
91,838
11 4 6 3,809
490 3,800
11 6 55,763
4 1,754
218 3,745
6 294 3,744
3 7,734
27 3,732
218 6,683
6 2 3,673
6 7,668
138,667
77,648
490 6,646
3 73,643
316,628
11 6 55 3,624
27 6,615
11 1 3,589
1 55,588
3 64,566
6 3 7,554
3 316,549
27 6 3,542
446,541
4 1 3,541
4 1 6,539
18,539
490 6 3,538
6 73,537
1 218,537
138 3,537
11 218 6 3,537
69 11 6,537
4 55 3,537
361 3,537
6 504 3,537
11 6 294,537
1056,537
11 490 6,536
1490 3,536
3826 6,536
635 6,536
11 6 77,536
667,536
11 275 6,536
1777 3,536
6 3 64,536
1 294 3,536
799 6 3,536
11 6 316,536
246 11 218 6,536
11 6 737,536
1779,536
11 6 83,536
5,536
69,536
11 1 6 3360 20149 2842 215 5242 239 47 2094 706 1104 265 7 18045 77 3297 3569 531 5060 438 446,536
246 1078,536
1 6 3 2299,536
15285 3 6374,536
11 6 3 2863 136,536
11 4 6 364 3957,536
490 294 3 9395,536
11 6 397,536
6 294 667,536
1871 11 1105 6 4495 1876 858 2176 1592 753 1132 90 970 4001 241 672 423 2357 4584 3407 469 6092 4614 8825 8826 4340 2826 5830 1928 473,536
39 6 3 25287,536
11 1078 27 218 6 20 1765 762 3945 1128 13753 2821 2072 1145 3394 6744 11087 49 10731 3552 5979 321 148 871,536
11 656 6 281 294 3 12743,536
11 1 40 6 232 3,536
11 4 487 6 361 1688 77,536
11 218,536
11 6 55 6811 810 3 954 438 445,536
554 11 3347 6 4962 3392 690 670 276 563,536
69 11 218 6 3 77 148 3045 446 585,536
11 1 6 3 3460 11575,536
11 41264 3,536
6 2409 316,536
8675,536
11 6 2 4183 820 138 1065 7743 889 632 1556 3504 3,536
11 4 1 6 20741,536
39 11 6 303 138 1065 632 582 155 259 18 3 292,536
6 278,536
2954 3055,536
509 1 6 376 378 10716,536
4 273,536
278,536
27 6 24836 278 1138 5799 6980 400 87,536
6 1103,536
4 218 6 55 3,536
3 8633,536
11 82 218 6 4724 763 256 363 3 148 677 316 678,536
2 5239,536
69 11 490 6 232 1751 7 3352 402 897 4413 26445 316,536
928 9144,536
6392,536
146 27,536
2939 11 4 1 6 2952 3121 2157 598 588 1829 12 974 3 422 446 5068 494 2018 1923 3416 4970,536
3 7701,536
11 1808 1081,536
246 11 218 6 3348 2133 3 278 1138 28 7 32 5257 3905 1496 205 5899 5900 8158 2817 276 1155 7980 8113 2300 8028 897 5516 5518 5519 2148 8906 6056 14496 9849 1978 211 6103 11944 11230 5935 11614 1775 4415 212 213 3508 87 2302 214 421 71 999 77 2948 473,536
4 6 358 46 3 13575 73,536
217 55 3 5738 278,536
11 1751,536
584,536
536 4 6 3 633,536
3317 778 3 148,536
11 6 158 650 827 6335 77 290 737 738 534 15127 4891 3988 871 244 836 2251 3131 1816 1486 5117 316,536
69 3560 2939 679 340 3594 7430 11 4647 4585 640 7768 7769 3559 1569 987 1 218 40 2024 314 2955 6 1879 1770 5128 1741 3360 7808 1458 1018 3258 2012 38 298 299 5102 372 2132 2976 90 4745 521 522 777 778 781 537 3121 7813 969 260 281 1025 58 9536 1811 3607 3784 972 829 45 523 1133 4758 588 5355 1829 4759 2886 9404 12 1531 2993 7512 373 1044 6540 4564 6812 2887 240 2292 3392 7397 2133 3368 11572 2136 376 305 306 2159 4763 261 2010 3603 4764 5056 6663 3804 3322 672 4663 807 2164 2004 830 2192 2094 5539 3522 4807 3370 4629 2876 1558 15567 980 2977 3373 558 3376 2877 112 132 960 11234 2979 964 6335 4617 6336 965 5604 5236 5243 8899 815 2371 6465 847 12748 423 2310 568 15316 2357 2108 4093 531 6850 3721 3723 312 3956 3835 2254 148 438 9065 11393 6079 8466 9790 3887 3536 3255 6619 144 470 2251 471 2948 2287 473 1011 316,536
39 1214 1225 1236 1247 1257 1260 1271 1282 1293 1301 1302 1303 1304 1306 1307 1308 1309 1310 1311 1312 1313 1314 1316 1325 1326 1327 1328 1329 1330 1331 1332 1333 1334 1335 1336 1337 1338 1339 1340 1341 1342 1343 1055 1344 1345 1346 1347 1348 1349 1350 1351 1352 1353 1354 1355 1356 1357 1358 1359 1360 1361 1362 1363 1364 1365 1366 1367 1368 1369 1370 1371 1372 1373 1374 1375 1376 1377 1378 1379 1380 1381 1382 1383 1384 1388 1389 1390 1391 1392 1393 1394 1395 1396 1406 1417 1428 269 11 987 1 218 6 7925 4862 2838 215 1800 138 1065 4516 12 1830 504 9238 2364 4617 9249 64 290 662 136 148 438 73 492,536
6 1564 3221 3 9132,536
6 3 26601 10729,536
11 987 6 9373 540 800 358 22973 3,536
27 3 7 17311 1529,536
11 6 3 5119 1007,536
1418 11 4035 6 2192,536
11 3 667,536
11 648 6,536
11 6 152 64 41265,536
6 3235 7 316,536
1912 21043 3,536
1 689 3 116 470,536
11 6 77 290,536
11 146 6 2 7 85 276 897 86 7845,536
621 1 6,536
11 1164 1 6 901 77,536
9997 294 3 2813,536
218 3 148 675 5304 573 916 3988 1817,536
342 14403 19751 14901 3,536
6 1605 1019 10346,536
508 11 987 1 6 2 540 514 515 516 518 525 526 2283 528 529 2284 7814 307 148,536
11182 3,536
288 4074,536
11 1 6 2177 6700 2285 692 693 3 916 2336,536
1 40 6 347 2958 353 356 512 1699 1628 259 1631 1707 970 1025 3762 380 3262 22548 7092 7093 7097 7099 7100 4609 7101 1611 96 116 5317 2881 934 7 7573 3922 205 5990 7498 1575 4361 6160 576 206 7264 3151 1775 879 5580 445 877 474,536
6 305,536
335 6 2 768 2298 2095,536
11 4871 4103 3,536
11 490 484 6 3 667,536
2887,536
1 17 218 657 658 40 659 660 665 6 281 2399 689 3123 148,536
5 1 6 55,536
11 6 138,536
27028 138 631 234 3 2416 135,536
11 27 6 545 810 3,536
11 160 27 987 218 6 1034 3 7 15296 8175 2243 5979 321 136 148 446 3239,536
11 6 3 2058,536
635 14332 316,536
69 269 1 2 687 3 64 3974,536
145 4 3 3113,536
269 11 1 12898 18826 3,536
39 11 288 27 6,536
1164 6 3,536
6 294 26692 3,536
11 1 6 2127 3 73,536
