ID,Count
3,381
6,290
6 3,205
11 6,152
1,118
11 6 3,92
1 3,59
1 6,53
11 3,50
11,43
4,39
55,39
1 6 3,35
4 3,29
55 3,27
4 6,20
4 6 3,19
294,17
11 1 6,17
2,16
6 55 3,16
11 4 6,15
294 3,14
7,13
73,13
6 55,12
11 4 6 3,12
11 6 2,12
27,12
2 3,12
6 294 3,12
6 2,11
11 1 6 3,11
11 6 2 3,11
218,11
3 316,11
11 1,11
64,10
490,10
91 3,10
1 55 3,10
490 6,10
648,10
11 6 3 64,10
6 3 7,10
138,9
11 1 3,9
11 6 667,9
6 91 3,9
2895,9
993,9
11 4,9
316,9
6 3 77,9
11 6 55 3,9
11 218 6 1455 300 376 306 261 3 4776 7 897 4009 10 6915 212 10006 6916 6917 87 312 148,9
3347,9
2309 6 2 138 10007 7901 7 7904 6646 3351 897 136,9
4 275 8424 3 278 10008,9
4 934,9
324 325 330 331 332 333 335 336 338 339 11 6 859 2 2012 4962 303 220 154 1034 260 45 523 1024 4963 2942 380 3322 8226 10009 4990 938 1714 2173 2876 1149 7060 3262 5017 558 100 102 1559 106 1071 852 10010 7141 711 833 3398 6110 3985 5969 4773 10011 584 2386 2093 644 64 3766 4068 1037 848 3146 1152 4618 9261 5713 77 290 737 438 1926 316,9
1594,9
4714 3,9
1 6 2210 3,9
11 7458 1 6 345 2025 555 3139 2256 626 1754 686 354 2258 759 1839 220 1680 154 845 762 21 579 1682 1514 747 229 1693 764 259 158 1863 826 370 1131 650 491 827 1019 90 777 43 281 44 828 4756 1812 794 829 1044 3391 1469 2400 2292 8984 6810 3368 242 6162 305 306 1921 6663 46 379 2105 381 3804 3123 2094 3370 5593 7045 1069 10012 223 2406 2169 4628 7051 4351 938 2171 1714 6261 3778 1021 704 811 5595 1149 1073 64 3405 9277 736 531 4601 563 312 3835 4101 292 787 461 465 3669 4970 2067 3538 266 2826 3104 1011,9
3003,9
11 1 6 762 3 321,9
506 1194 1204 1205 1206 1207 1208 1209 1210 1211 1212 1213 1214 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1226 1227 1228 1229 1230 1231 1232 1233 1234 1235 1236 1237 1238 1239 1240 1241 1242 1243 1244 1245 1246 1247 1248 1249 1250 1251 1252 1253 1254 1255 1256 4842 1257 4843 4844 4845 4846 4847 4848 4849 4850 1258 1259 1260 1261 1262 1263 1264 1265 1266 1267 1268 1269 1270 1271 1272 1273 1274 1275 1276 1277 1278 1279 1280 1281 1282 1283 1284 1285 1286 1287 1288 1289 1290 1291 1292 1293 1294 1295 1296 1297 1298 1299 1300 1301 1302 1303 1304 1305 1306 1307 1308 1309 1310 1311 1312 1313 1314 1315 1316 1317 1318 1319 1320 1321 1322 1323 1324 1325 1326 1327 1328 1329 1330 1331 1332 1333 1334 1335 1336 1337 1338 1339 1340 1341 1342 1343 1055 1344 1345 1346 1347 1348 1349 1350 1351 1352 1353 1354 1355 1356 1357 1358 1359 1360 1361 1362 1363 1364 1365 1366 1367 1368 1369 1370 1371 1372 1373 1374 1375 1376 1377 1378 1379 1380 1381 1382 1383 1384 1385 1386 1387 1388 1389 1390 1391 1392 1393 1394 1395 1396 1397 1398 1399 1400 1401 1402 1403 1404 1405 1406 1407 1408 1409 1410 1411 1412 1413 1414 1415 1416 1417 1418 1419 1420 1421 1422 1423 1424 1425 1426 1427 1428 1436 1437 1438 1439 1440 1441 1442 1443 1444 1446 1449 1450 3969 817 1451 679 269 11 7973 1 218 658 40 659 6 56 3360 2888 42 3680 1780 1616 2999 2941 139 556 4962 841 38 352 303 3515 1754 1644 6760 687 254 364 25 1693 582 230 583 1515 825 258 512 231 769 1600 688 232 1601 2045 259 158 368 2952 1463 1864 1033 370 2953 1131 1517 2954 1466 2282 1467 1132 372 140 520 1827 90 521 522 141 4675 3473 781 1858 4563 970 281 1025 3607 1044 240 864 1469 2292 689 690 3394 3368 375 242 2135 376 2181 262 263 504 691 4040 1520 3802 2094 810 6960 273 5058 558 2008 116 4065 135 423 4096 5995 933 738 2425 563 3198 148 6976 2426 443 787 455 464 836 4614 1485 3416 839 3131 1656 876 316,9
6 10013 10014,9
314 6 10015,9
2186 1,9
490 3,9
6062 215,9
11 1 161 657 40 659 660 4015 3456 661 1143 665 314 6 1770 138 631 3 3262 10016 8837 7205 2457 28 7 32 1934 37,9
11 2895 6 230 3,9
6 6752 3,9
10017,9
11 6 1808 516 773 90 3 77 290 737 3237 438,9
490 3 3493,9
11 27 1 6 220 2132 522 537 45 672 3 7 319 320 5979 321 77,9
616 138,9
269,9
11 1 218 6 138 255 148,9
11 987 218 6 8013 4251 1800 10018 4280 4296 1019 531 148 2143 446 467,9
11 6 242 504 1853 10019,9
10020 6 3 2017 2426,9
6 3 706 7170,9
291 1 40 6 992 3258 1025 3607 3230 1138 531 4650 2251 473 4811 4012 496,9
11 612 6 1531 2993 4564 441 473,9
