ID,Count
3,3656
6,3038
6 3,2135
11 6,1325
1,1010
11 6 3,894
1 3,593
1 6,514
11,486
4,442
11 3,405
1 6 3,371
55,339
4 3,320
55 3,255
11 1 6,235
4 6,218
2,197
294,172
6 55,170
4 6 3,167
6 55 3,158
11 1 6 3,157
294 3,141
490,126
7,118
218,115
11 4 6,109
27,105
2 3,101
11 1,100
6 2,96
490 3,91
6 294,91
11 6 55 3,90
6 294 3,89
64,87
11 4 6 3,86
3 73,86
218 6,85
246,85
18,85
218 3,85
6 278,85
316,84
3 64,84
1 55,84
3 7,84
6 83,84
11 1 3,84
152,83
11 490 6 3,83
4 1,83
138,83
77,83
11 2 3,83
6 154 3,83
446,83
490 6,83
246 6,83
91 3,83
6 2 3,83
6 3 7,83
11 490 6,83
11 6 23477,83
303,83
1580 3 10263 1733,83
11 3181 1 6 343 1912 883 1921 8899 786 4612 4971 13865,83
6 3 64,83
6 152 1752,83
11 40 6 1770 83 6174 1104 265 7 897 77 633,83
18 3,83
269 6 3 446,83
69 11 490 6 2 598,83
11 6 3 662,83
535 3 14386 73,83
1441 1 6,83
11 1707 3,83
217 10981,83
11 218 6 582 155 775 1710 3 148 316 678,83
922 3 7846 73,83
3317 6 3,83
269 11 27 1 6 2993 7512 2159 1609 697 4807 4808 273 3 278 7 32 1529 321 737 738 438 445 2251,83
5 818 64,83
11 10089,83
17972,83
11 6 2830 316,83
11 27 6 7 10596 1084 6087 3351 3133 13690 3635 6134 6667 2300 6828 5238 5318 402 897 9937 7419 9303 1090 1091 1092 211 7429 3151 2313 879 6911 5453 5454 10690 212 87 16670 17442 4489 2302 214 14415 7543 4238 13328 1822 2242 2231 420 11720 3378,83
490 2329 278,83
218 6 372 90 64 290 148,83
993,83
4 6 23478 14,83
27 1,83
11 6 5038 1455 4201 5041 3385 1168 230 231 3119 367 969 43 970 3628 260 4001 281 1025 44 14314 3518 828 1990 1811 1812 794 829 239 3391 2400 5880 3394 842 2135 304 306 11295 261 3520 262 263 5442 423 438 6688,83
11 3333 3 2898,83
