ID,Count
3,36133
6,30225
6 3,21139
11 6,12769
1,9766
11 6 3,9083
1 3,6002
11,5374
1 6,5046
4,4290
11 3,3756
55,3561
1 6 3,3510
4 3,3000
55 3,2377
11 1 6,2375
4 6,2340
4 6 3,1758
11 1 6 3,1753
6 55,1749
294,1653
2,1601
6 55 3,1374
490,1225
27,1167
294 3,1161
2 3,1152
7,1100
218,1055
11 4 6,954
64,907
6 294,890
6 2,882
11 1,880
73,850
91,838
11 4 6 3,809
490 3,799
11 6 55,761
4 1,754
218 3,744
6 294 3,743
3 7,734
27 3,731
218 6,681
6 2 3,673
6 7,667
138,666
77,648
490 6,643
3 73,643
316,628
11 6 55 3,621
27 6,615
11 1 3,588
1 55,586
3 64,558
6 3 7,538
490 6 3,492
218 6 3,490
6 73,487
4 1 3,486
6 64,482
27 6 3,478
3 316,464
446,461
148,435
145,427
648,426
11 6 2,422
246,420
1 55 3,418
6 91,417
993,415
3 77,414
269,411
4 1 6,410
6 3 73,409
138 3,407
18,406
5,403
278,403
11 6 294,403
1 2,401
1751,401
6 77,401
11 6 77,401
1 6 55,400
6 138 3,400
11 6 294 3,400
4 55 3,400
6 138,399
11 6 3 77,399
11 490 6,399
152,399
6 3 64,399
1 218,399
11 6 316,399
11 218 6 3,399
69 11 6,399
6 3 77,399
361 3,399
11 4,398
11 55,398
11 3 316,398
69 3,398
6 18,398
1779 6,398
1 6 138,398
4315 3,398
1490 3,398
11 55 3,398
6 303 3,398
11 6 3 7,398
3826 6,398
635 6,398
6 1751,398
246 1,398
91 3,398
667,398
11 275 6,398
1777 3,398
1 294 3,398
799 6 3,398
4 6 294,398
246 11 218 6,398
11 6 737,398
1779,398
11 6 83,398
4 55,398
69,398
584,398
11 6 138,398
314,398
635 6 3,398
11 218 6 2 253 11509 148,398
269 490 6 22316 6851,398
11 987 1 6 5126 1883 3978 4194 4196 3492 56 4214 1919 215 688 370 15 559 106 115 7 2849 205 3923 148 2429 6431 2018 470 2251 564 839 8511 1170 2956 9460 3962,398
3 3835,398
6544 6 3 17286 7,398
6 818 89 686 3,398
11 6 55 768 3,398
11 15716 64,398
11 6 138 28 7 32 1934 37,398
6 3 12470,398
7856 77 446,398
11 314 6 2941 6973 3 64 3776 136,398
535 218 6 540 148,398
27 6 83 284 188 204 278 1138 2331 28 7 1050 32 8203 2808 673 674 85 6828 897 86 1054 321,398
15634 10680,398
5092 5093 4833 4834 4835 5101 1214 1225 1236 1247 1257 1260 1271 1282 1293 1304 1305 1316 1327 1338 1344 1345 1346 1347 1348 1349 1350 1351 1352 1353 1354 1355 1356 1362 1373 1384 1395 1406 1417 1428 1436 1437 7930 7932 11 35690 29081 4117 4121 4126 603 987 1 6 138 273 83 3525 7 148 444 446 494 1009,398
6 55 15982,398
2376 3393 16295,398
269 11 6,398
1193 6,398
2 41266 446,398
335 11 6,398
1 1751,398
314 6061 6245 7256 3724 498,398
11 6 2888 5234 3 5542 5860 6767 3612 5634 831 5732 3102,398
11 4 6 3 423,398
13438 55 446,398
621 6 39461,398
11 6 2828 64,398
6 3123 3,398
11 218 6 666 2121 825 3143 231 4060 6577 770 1602 3647 158 367 2269 3512 3120 1464 3187 236 1653 4755 260 281 380 2048 6767 729 3177 148,398
1 1888,398
11 6 273 3 19206 472,398
11 6 3 7733 16850,398
11 6 1034 26040,398
269 10260,398
3037,398
490 218 3 17729,398
218 6 2424 148,398
1057 2122 20047,398
11 6 215 1597 5495 1146 2402 3 2808 667,398
1 23893 3,398
69 11 6 1117 55 136 667,398
6 3 434,398
4 550,398
6 56 3 136,398
11 1 6 342 90 3762 3348 6537 2133 6811 808 699 564,398
3333,398
4 6 138 3 1058 11583,398
27 6 590,398
6 2 3 7,398
11 490 6 2 20056 3,398
11 928 6 2873,398
3243 1451 7773 1569 987 6 1603 1741 1644 229 364 236 237 90 7940 808 3 573 916 927,398
1434 3 8827,398
11 3001 1 6 3,398
5315 11 27 1 6 6465 278 7 205 1960 7498 5080 2810 1962 7575 209,398
4 18017,398
1 6 296 3692 138 889 2952 3473 3122 3 7617 14099 4043 8382 2061 7164 64 9741,398
1752,398
11 6 2103 303 1144 5881 504 3 148,398
11 6 775 827 1710 3,398
11 6 1123 3 5125 1815 1817 496,398
11 648 6 3 498,398
506 11 6 1018 55 58 3784 598,398
11 1 218 6 40652 3 7697,398
11 218 40 6 3139 1754 4695 354 3337 3871 361 3682 1124 1514 1806 25 230 2951 768 2040 2041 231 2267 235 237 772 371 775 6333 1809 1132 4507 2083 5694 90 4745 6469 1858 969 281 1025 1811 794 829 2993 9406 238 239 240 13379 3259 241 5880 3394 242 11572 2181 6621 3804 784 672 3 2448 5562 3524 702 2406 7053 4522 15567 811 706 8851 707 5595 1149 831 112 10790 4323 4324 7158 2367 2418 9248 2419 584 644 64 1483 3821 662 136 148,398
605 1 64,398
1105 3,398
6333 3,398
1 6 2103,398
1 6 55 1135 13721 3174,398
11 1 6 3 7 8170 662 3255,398
11 152 10677 4737 3,398
218 6 1536 3 6500 584 644 64 4783,398
11 270 6 71 77 885 1843 675,398
4 2400,398
11 55 3 136,398
11 1057,398
11 16886 278,398
11 70 218 6 41 4806 1805 354 220 20 21 46 1751 148,398
11 4 3,398
6 294 14765 3,398
11 70 6 3502 3,398
6 3 3198,398
6 1677 17190,398
2344 1 218,398
17 1644,398
5092 5093 4831 5094 4376 4832 5095 5096 5097 5098 5099 5100 4833 4834 4835 4836 4837 4838 4839 4840 4841 5101 1823 11 987 218 6 3662 8290 6636 5042 5510 3664 1168 1116 5375 303 253 4573 3573 1459 10023 4586 5107 5182 686 1838 354 4696 2257 4500 5659 2261 747 255 2329 2265 2037 766 6705 2872 155 2045 368 513 1605 1988 1709 1464 237 514 1033 1130 994 995 1607 1131 3880 2273 2274 5688 920 1608 517 883 3736 4739 2821 772 3539 1030 4740 773 2072 650 2974 2124 2126 4742 1035 2975 776 372 90 2959 3390 4750 537 1989 4754 4679 58 971 1812 59 972 829 523 1145 974 2135 2136 2159 2010 525 528 504 9329 6449 4039 3216 46 379 4767 6820 2050 3804 3322 808 273 3 3955 148 1141 434 3654 870 837 1656 316 678 498,398
11 483 314 6,398
11 27 218 6 9 1121 800 358 359 1806 828 379 11633 3 3788 131 7 3279 205 2808 4396 3331 148,398
288 1,398
11 6 215 55 90 21028 5069 64 7 2854,398
2019 269 11 4144 640 7791 4503 7792 218 6 684 303 1644 1460 3337 21 1646 513 1863 370 842 783 504 3505 77 148,398
4365 6 1065,398
483 1 19407 316,398
2153 11 1 218 6 138 972 45 261 3 148 473,398
19712 12581,398
11 3620 1 6 56 1754 3 9764 77 737 7510,398
3604 323 215 504 278,398
6 3 20033 423 77 470,398
11 22473 27 1 6 344 56 364 155 741 1618 1044 2050 5588 135 77 438,398
11 4 6 18960 9091,398
2192,398
11 218 6 45 523 1145 3 534 11063,398
11 6 8148 10385,398
656 3 446,398
21 3 25794,398
11338,398
4 6 294 670,398
11 490 6 5620 3 3400,398
6 1531 3,398
11921 27 6 8053 10837 3 278 7 5176 5178 321,398
11 1 6 3 423,398
218 6 5524 303 3121 970 260 4001 281 1025 29842 3 148,398
11 4035 6 449,398
1777 1,398
11 3347 1 5797 3 4588 7404,398
11 4 6 1065 632 901 579 3262 3701 737 662 136 443 916 3145 316,398
3 15380,398
4035 6,398
6 138 631 632,398
1162 11 6 16568,398
3 37,398
6 2 3 29464 19424,398
3003 36151 3 5572,398
4158 1838 584,398
4338,398
3894 11 6 5620 3664 990 5375 303 142 690 3 1141,398
1 6 861 64,398
69 6 857 4155 1883 215 2044 2045 3322 3 701 64 3758 2422 135 442,398
1 6 715,398
1 22342 21600 3766,398
4 8610 3 120,398
11 6 294 14290 71 77,398
1 4888,398
11 27 6 278 28 7 1050 2226 1932 32,398
490 928 6 3 2319,398
11 6 3 4886 2304 4981,398
11 41267,398
27 6 398 7 399 400 2800 14565 4078,398
11 6 55 3 17465 677,398
69 11 6 3 71 1000 667,398
2186 6 3,398
462,398
11 6 361 650 2122 2123 2129 2130 3 472,398
323 1806 4361,398
3317 605 3,398
11 6 1769 3790 1914 56 263 3 438 793,398
4 483 3246 41268 155 3,398
4 380 3,398
11 1 40 6 1019 3322 3 1752,398
11 218 6 55 1144 255 273 148,398
18215,398
6 1065 492,398
330 638 3,398
4148 6 3,398
648 259 8761 3,398
1 6 762 3517 3 4216,398
11 987 3143 1751,398
3181 6,398
1 590,398
6 19451,398
1 17731,398
11 6 12685 316,398
