ID,Count
122,1429525
8,1309694
49,1178279
124,887358
516,858146
171,793839
51,787398
121,726516
878,677772
150,677637
158,675209
146,674412
60,641971
149,634232
308,597295
84,567410
379,562868
22,552854
1,552824
514,549880
524,536002
81,532083
476,496961
905,462998
220,461391
511,448499
6,437717
20,433849
9,423089
140,422020
422,416588
469,413160
1051,411325
603,404971
72,397809
147,397705
88,394664
376,392314
76,390936
123,386973
519,385448
338,374838
509,374581
590,373821
142,372932
406,372256
863,371340
471,368035
857,365843
472,365781
275,365144
116,360237
14,359357
294,359096
208,356907
448,355629
444,340330
873,340236
485,339510
330,337933
506,335025
468,329773
845,324894
355,322841
998,322482
361,322028
313,321246
459,320283
53,319819
401,316369
380,313586
646,311461
591,308967
54,307012
185,306545
157,303011
520,301832
1793,301686
842,301028
370,300810
475,300604
48,300488
21,300275
138,299049
521,298572
879,297395
112,296779
31,294846
461,293556
402,293305
536,292660
805,292606
419,291630
561,289110
238,288362
228,286731
369,283005
1029,282807
340,281108
319,281009
503,275945
764,274167
386,269243
455,265621
621,265424
40,264361
1242,262531
1034,260410
679,259881
1236,258911
1345,257720
510,257636
563,256364
179,256212
312,256019
684,255863
331,252988
1801,252207
1285,251265
287,250124
884,249604
225,247238
389,246505
860,246440
407,245938
339,245738
588,244906
470,244653
439,243997
202,243983
90,243719
938,242415
213,242021
504,241507
493,239118
66,237712
1206,236435
55,236248
325,235007
586,234125
1977,231664
1024,231369
1682,229811
934,229655
595,229336
30,228981
417,228925
42,228732
1158,227294
86,226660
168,226593
1181,226432
906,226221
1098,225943
954,223537
381,222582
431,221881
803,221142
187,221045
1244,220507
1228,219589
335,218091
596,217383
560,217337
58,217054
486,215742
154,215059
1077,214728
1241,213736
512,208646
1054,208626
414,207281
13,207058
1114,206930
198,206737
838,206228
980,205332
430,204444
1095,204206
280,203204
1003,202849
440,202770
191,202693
85,201766
1088,201058
1056,200885
1112,199120
359,198992
1172,198825
332,198510
165,197401
377,196505
659,196456
453,196266
1523,193056
870,192835
92,191781
746,191385
398,191199
378,190896
992,190793
1835,190767
824,189155
983,189085
221,187433
174,186828
426,186705
858,184338
718,184108
790,183814
216,183016
38,182380
393,181556
2188,181177
400,180832
794,179467
1827,178479
412,178122
1312,178088
258,177699
1368,176839
818,176318
396,174485
1149,172448
5576,172157
346,171831
241,171123
1136,170629
354,169140
177,168793
1156,168560
1144,167522
517,167234
1208,166949
126,166570
1539,165497
530,165154
10,162841
513,161278
1700,161209
1458,159850
979,158507
345,155490
195,154597
902,154149
598,153347
528,151921
853,149317
302,149264
243,146222
2375,146151
357,139902
1762,138549
307,131190
1049,131015
1659,110809
