ID,Count
122,72508
8,69349
49,59525
129,48880
124,46414
516,46325
51,39881
171,39569
150,39447
121,38702
158,35133
146,34204
149,34169
878,33879
60,33370
308,33035
22,30589
379,30370
514,29506
1,29156
84,29086
524,28627
81,27626
66,25431
511,24536
476,24255
1051,23635
905,23535
6,23389
140,23154
590,22852
469,22572
406,22334
9,22298
88,21858
76,21765
519,21559
444,21267
422,21178
506,20877
603,20767
72,20694
21,20560
20,20512
472,20361
123,19815
561,19788
53,19610
863,19254
220,19243
448,19010
147,18970
142,18941
116,18809
48,18803
376,18717
275,18670
471,18664
185,18584
338,18554
459,18369
509,18338
380,18095
294,18057
520,18047
873,17744
646,17667
845,17625
401,17531
14,17500
361,17484
857,17377
591,17262
998,17214
157,17208
402,17175
355,17006
468,16892
485,16744
536,16708
313,16702
475,16694
330,16677
842,16655
407,16654
138,16593
112,16511
179,16507
23,16253
664,16241
419,16173
208,16138
886,16082
54,16077
1236,16055
461,15837
370,15795
238,15751
1793,15742
31,15737
501255,15649
1158,15499
5576,15486
574300,15475
498924,15379
586906,15354
340,15334
684,15301
572841,15272
805,15266
1029,15244
172,15222
639,15218
202,15214
573854,15206
181,15171
10,15153
228,15074
417,15017
98038,15001
576307,14990
577600,14903
1172,14891
555072,14886
484,14878
1206,14878
24,14873
510,14870
195,14869
521,14867
1345,14813
590474,14812
1181,14774
28,14769
584608,14762
40,14760
596,14749
191,14724
18,14699
117,14688
287,14674
455,14656
860,14647
85,14642
168,14631
584811,14592
90,14571
938,14550
7,14539
167,14523
590481,14520
679,14515
571989,14508
223291,14508
386,14500
369,14473
591522,14433
439,14425
621,14422
571425,14418
1801,14407
486,14404
816,14402
595,14393
207,14391
764,14391
1781,14383
30,14372
431,14358
39,14346
589736,14327
881,14324
398,14315
295,14312
325,14306
1625,14304
13,14298
1977,14296
879,14292
280,14291
563,14285
1312,14271
339,14271
503,14264
470,14263
1241,14259
930,14258
306,14249
586,14248
954,14246
22487,14245
3187,14236
187,14230
934,14228
1242,14225
42,14223
1095,14221
1711,14221
2150,14220
335,14218
589617,14212
28222,14212
51018,14212
81688,14212
2008,14211
2845,14208
35,14207
319,14207
11517,14204
513,14204
154,14204
838,14204
507,14203
1427,14202
10409,14201
1112,14201
906,14201
1539,14200
1682,14199
6077,14198
560,14198
377,14197
774,14197
434,14197
1208,14196
980,14195
357,14193
3412,14192
3172,14190
109,14189
22737,14188
1458,14188
1598,14188
746,14187
10655,14186
530,14186
1622,14185
543,14185
6541,14184
10291,14184
394,14183
512,14183
589753,14182
290,14180
389,14180
1164,14179
400,14178
393,14178
381,14177
2893,14176
58,14176
3233,14176
473,14175
9321,14175
346,14174
55,14173
992,14173
86,14173
14555,14172
3071,14172
318,14172
35134,14171
523,14171
1003,14171
11,14170
884,14169
3006,14169
374,14168
1032,14167
803,14167
594,14166
1169,14166
631,14166
718,14166
236,14166
559,14165
979,14165
1335,14165
5640,14164
2122,14164
152,14164
453,14164
1700,14163
953,14163
65609,14163
1676,14163
411,14163
740,14162
217,14162
2271,14162
659,14162
6694,14162
10947,14161
359,14161
329,14161
1517,14161
236491,14161
14172,14161
3388,14160
432,14160
221,14160
568,14160
1045,14160
317,14160
940,14160
7124,14159
387,14159
2832,14159
101,14159
4766,14159
526877,14159
2024,14159
1920,14159
